Tid,Tname
1,"juicer, cutlery, bakeware, grill, cookware"
2,"grill, mixer"
3,"grill, blender, juicer, cutlery, bakeware"
4,"mixer, grill"
5,"mixer, Air fryer, blender, grill, cutlery, juicer, coffee maker"
6,"blender, grill, juicer, Air fryer"
7,"juicer, grill, mixer, coffee maker, cookware, Air fryer, blender, knives"
8,"Air fryer, grill"
9,"bakeware, juicer, grill, coffee maker, cookware, blender, Air fryer, knives"
10,"Air fryer, knives"
11,"bakeware, knives"
12,"cutlery, grill, mixer, bakeware, Air fryer, coffee maker"
13,"grill, juicer, mixer, Air fryer, coffee maker, blender, cutlery"
14,"mixer, Air fryer, blender, coffee maker, knives, grill, cookware, bakeware"
15,"cookware, Air fryer, bakeware, knives"
16,"cutlery, cookware, grill, mixer, Air fryer"
17,"mixer, Air fryer, juicer"
18,"Air fryer, cutlery, cookware, grill, juicer, coffee maker"
19,"Air fryer, knives, bakeware, juicer, grill, blender, coffee maker, cutlery"
20,"bakeware, knives, grill, mixer, Air fryer"
